GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
plagiarismdetector,edu.northeastern.cs5500.team111.plagiarismdetector.service,FileUploadService,6,106,0,10,3,19,0,7,0,2
plagiarismdetector,edu.northeastern.cs5500.team111.plagiarismdetector.service,FileCompareService,0,124,0,18,0,27,0,11,0,2
plagiarismdetector,edu.northeastern.cs5500.team111.plagiarismdetector,PlagiarismdetectorApplication,8,6,0,0,3,2,1,2,1,2
plagiarismdetector,edu.northeastern.cs5500.team111.plagiarismdetector.validation,UserValidator,16,69,6,8,4,15,7,3,1,2
plagiarismdetector,edu.northeastern.cs5500.team111.plagiarismdetector.controllers,UserController,23,72,2,4,6,17,3,6,2,4
plagiarismdetector,edu.northeastern.cs5500.team111.plagiarismdetector.controllers,UserController.NotFoundException,6,0,0,0,1,0,1,0,1,0
plagiarismdetector,edu.northeastern.cs5500.team111.plagiarismdetector.controllers,UserController.ForbiddenException,0,6,0,0,0,1,0,1,0,1
plagiarismdetector,edu.northeastern.cs5500.team111.plagiarismdetector.controllers,FileController,53,86,3,1,17,19,3,6,1,6
plagiarismdetector,edu.northeastern.cs5500.team111.comparisonstrategies,LCSObject,8,35,1,3,3,12,3,5,2,4
plagiarismdetector,edu.northeastern.cs5500.team111.comparisonstrategies,StrategyContext,0,52,1,6,0,16,1,8,0,3
plagiarismdetector,edu.northeastern.cs5500.team111.comparisonstrategies,GenerateReport,0,259,0,12,0,42,0,13,0,7
plagiarismdetector,edu.northeastern.cs5500.team111.comparisonstrategies,LineMatch,0,15,0,0,0,7,0,4,0,4
plagiarismdetector,edu.northeastern.cs5500.team111.comparisonstrategies,LCSComparerAdvanced,0,183,0,4,0,40,0,7,0,5
plagiarismdetector,edu.northeastern.cs5500.team111.comparisonstrategies,TokenEditDistComparer,41,451,3,23,7,76,3,16,0,6
plagiarismdetector,edu.northeastern.cs5500.team111.comparisonstrategies,ComparisionReport,0,117,0,4,0,27,0,14,0,12
plagiarismdetector,edu.northeastern.cs5500.team111.comparisonstrategies,MossComparer,48,89,1,3,9,20,1,4,0,3
plagiarismdetector,edu.northeastern.cs5500.team111.comparisonstrategies,MachineLearningModel,71,325,0,4,9,31,1,4,1,2
plagiarismdetector,edu.northeastern.cs5500.team111.comparisonstrategies,HungarianAlgorithm,4,672,1,79,1,121,1,52,0,13
plagiarismdetector,edu.northeastern.cs5500.team111.comparisonstrategies,ComparisonAlgorithm,8,82,0,0,1,10,2,3,2,3
plagiarismdetector,edu.northeastern.cs5500.team111.comparisonstrategies,JaccardComparer,0,170,0,2,0,36,0,6,0,5
plagiarismdetector,edu.northeastern.cs5500.team111.comparisonstrategies,LCSUtils,51,248,6,18,10,45,6,13,1,6
plagiarismdetector,edu.northeastern.cs5500.team111.comparisonstrategies,ComparisonAlgorithm.new ComparisonAlgorithm() {...},0,9,0,0,0,2,0,2,0,2
plagiarismdetector,edu.northeastern.cs5500.team111.comparisonstrategies,TokenEditDistUtils,0,208,0,16,0,29,0,12,0,4
plagiarismdetector,edu.northeastern.cs5500.team111.comparisonstrategies,ComparisonAlgorithm.new ComparisonAlgorithm() {...},2,7,0,0,1,1,1,1,1,1
plagiarismdetector,edu.northeastern.cs5500.team111.comparisonstrategies,ComparisonAlgorithm.new ComparisonAlgorithm() {...},2,7,0,0,1,1,1,1,1,1
plagiarismdetector,edu.northeastern.cs5500.team111.comparisonstrategies,ComparisonAlgorithm.new ComparisonAlgorithm() {...},2,7,0,0,1,1,1,1,1,1
plagiarismdetector,edu.northeastern.cs5500.team111.comparisonstrategies,ComparisonAlgorithm.new ComparisonAlgorithm() {...},2,7,0,0,1,1,1,1,1,1
plagiarismdetector,edu.northeastern.cs5500.team111.comparisonstrategies,ComparisonAlgorithm.new ComparisonAlgorithm() {...},2,7,0,0,1,1,1,1,1,1
plagiarismdetector,edu.northeastern.cs5500.team111.comparisonstrategies,LCSComparer,0,151,0,0,0,29,0,5,0,5
plagiarismdetector,edu.northeastern.cs5500.team111.comparisonstrategies,WeightedDistribution,69,35,0,0,15,7,1,2,1,2
plagiarismdetector,edu.northeastern.cs5500.team111.comparisonstrategies,StrategyContext.new Object() {...},6,41,0,0,0,1,0,1,0,1
plagiarismdetector,edu.northeastern.cs5500.team111.comparisonstrategies,Pair,0,15,0,0,0,6,0,3,0,3
plagiarismdetector,edu.northeastern.cs5500.team111.astgen,AltPython3Parser.Compound_stmtContext,78,5,6,0,15,2,15,1,12,1
plagiarismdetector,edu.northeastern.cs5500.team111.astgen,AltPython3Parser.Pass_stmtContext,35,5,6,0,8,2,8,1,5,1
plagiarismdetector,edu.northeastern.cs5500.team111.astgen,AltPython3Parser.Dotted_as_nameContext,46,5,6,0,10,2,10,1,7,1
plagiarismdetector,edu.northeastern.cs5500.team111.astgen,Ast,0,65,0,0,0,15,0,7,0,7
plagiarismdetector,edu.northeastern.cs5500.team111.astgen,AltPython3Parser.FuncdefContext,58,5,6,0,12,2,12,1,9,1
plagiarismdetector,edu.northeastern.cs5500.team111.astgen,AltPython3Parser.Comp_ifContext,52,0,6,0,12,0,11,0,8,0
plagiarismdetector,edu.northeastern.cs5500.team111.astgen,AltPython3Parser.SubscriptlistContext,40,5,6,0,9,2,9,1,6,1
plagiarismdetector,edu.northeastern.cs5500.team111.astgen,AltPython3Parser.DecoratorsContext,40,5,6,0,9,2,9,1,6,1
plagiarismdetector,edu.northeastern.cs5500.team111.astgen,AltPython3Parser.SuiteContext,61,5,6,0,13,2,13,1,10,1
plagiarismdetector,edu.northeastern.cs5500.team111.astgen,AltPython3Parser.ArgumentContext,46,5,6,0,10,2,10,1,7,1
plagiarismdetector,edu.northeastern.cs5500.team111.astgen,AltPython3Parser.While_stmtContext,61,0,6,0,14,0,13,0,10,0
plagiarismdetector,edu.northeastern.cs5500.team111.astgen,AltPython3Parser.If_stmtContext,69,5,6,0,15,2,15,1,12,1
plagiarismdetector,edu.northeastern.cs5500.team111.astgen,AltPython3Parser.ExprContext,40,5,6,0,9,2,9,1,6,1
